CountryName,Date,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,icu_patients_per_million,hosp_patients_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,population,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H8M_Protection of elderly people,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
Australia,20200103,,,,,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200104,,,,,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200105,,,,,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200106,,,,,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200107,,,,,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200108,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200109,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200110,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200111,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200112,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200113,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200114,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200115,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200116,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200117,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200118,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200119,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200120,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200121,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200122,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200123,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200124,,0,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,20200125,0.038,0.005,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,11.46,13.1,0
Australia,20200126,0.153,0.022,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,11.46,13.1,0
Australia,20200127,0.153,0.022,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,11.46,13.1,0
Australia,20200128,0.191,0.027,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,11.46,13.1,0
Australia,20200129,0.191,0.027,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,11.46,13.1,0
Australia,20200130,0.267,0.038,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,11.46,13.1,0
Australia,20200131,0.344,0.049,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,5.56,11.46,13.1,0
Australia,20200201,0.344,0.044,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,13.89,16.15,18.45,0
Australia,20200202,0.458,0.044,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,0,0,0,0,13.89,16.15,18.45,0
Australia,20200203,0.458,0.044,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,19.44,19.27,22.02,0
Australia,20200204,0.458,0.038,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,19.44,19.27,22.02,0
Australia,20200205,0.497,0.044,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,19.44,19.27,22.02,0
Australia,20200206,0.535,0.038,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,19.44,19.27,22.02,0
Australia,20200207,0.573,0.033,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,19.44,19.27,22.02,0
Australia,20200208,0.573,0.033,,0,,,,,,,,3.202,37.9,0.5,107.791,5.07,13,16.5,3.84,26177410,0,0,0,0,0,0,0,3,0,0,0,0,2,1,2,0,0,0,0,19.44,19.27,22.02,0
